bar_index,timestamp,equity
0,"2025-08-04T00:00",100000.00
1,"2025-08-04T00:15",100000.00
2,"2025-08-04T00:30",100000.00
3,"2025-08-04T00:45",100000.00
4,"2025-08-04T01:00",100000.00
5,"2025-08-04T01:15",100000.00
6,"2025-08-04T01:30",100000.00
7,"2025-08-04T01:45",100000.00
8,"2025-08-04T02:00",100000.00
9,"2025-08-04T02:15",100000.00
10,"2025-08-04T02:30",100000.00
11,"2025-08-04T02:45",100000.00
12,"2025-08-04T03:00",100000.00
13,"2025-08-04T03:15",100000.00
14,"2025-08-04T03:30",100000.00
15,"2025-08-04T03:45",100000.00
16,"2025-08-04T04:00",100000.00
17,"2025-08-04T04:15",100000.00
18,"2025-08-04T04:30",100000.00
19,"2025-08-04T04:45",100000.00
20,"2025-08-04T05:00",100000.00
21,"2025-08-04T05:15",100000.00
22,"2025-08-04T05:30",100011.50
23,"2025-08-04T05:45",77031.25
24,"2025-08-04T06:00",77031.25
25,"2025-08-04T06:15",77031.25
26,"2025-08-04T06:30",77031.25
27,"2025-08-04T06:45",77031.25
28,"2025-08-04T07:00",77031.25
29,"2025-08-04T07:15",77031.25
30,"2025-08-04T07:30",77031.25
31,"2025-08-04T07:45",77031.25
32,"2025-08-04T08:00",77031.25
33,"2025-08-04T08:15",77031.25
34,"2025-08-04T08:30",77031.25
35,"2025-08-04T08:45",77031.25
36,"2025-08-04T09:00",77031.25
37,"2025-08-04T09:15",77031.25
38,"2025-08-04T09:30",77031.25
39,"2025-08-04T09:45",77031.25
40,"2025-08-04T10:00",77031.25
41,"2025-08-04T10:15",77031.25
42,"2025-08-04T10:30",77031.25
43,"2025-08-04T10:45",77031.25
44,"2025-08-04T11:00",77031.25
45,"2025-08-04T11:15",77031.25
46,"2025-08-04T11:30",77031.25
47,"2025-08-04T11:45",77014.75
48,"2025-08-04T12:00",53954.25
49,"2025-08-04T12:15",53954.25
50,"2025-08-04T12:30",53950.25
51,"2025-08-04T12:45",53957.75
52,"2025-08-04T13:00",53958.00
53,"2025-08-04T13:15",53976.25
54,"2025-08-04T13:30",30903.25
55,"2025-08-04T13:45",30903.25
56,"2025-08-04T14:00",30903.25
57,"2025-08-04T14:15",30903.25
58,"2025-08-04T14:30",30903.25
59,"2025-08-04T14:45",30903.25
60,"2025-08-04T15:00",30903.25
61,"2025-08-04T15:15",30903.25
62,"2025-08-04T15:30",30903.25
63,"2025-08-04T15:45",30903.25
64,"2025-08-04T16:00",30907.50
65,"2025-08-04T16:15",30912.75
66,"2025-08-04T16:30",30908.75
67,"2025-08-04T16:45",30919.50
68,"2025-08-04T17:00",30932.00
69,"2025-08-04T17:15",30929.25
70,"2025-08-04T17:30",30911.00
71,"2025-08-04T17:45",30917.00
72,"2025-08-04T18:00",30912.75
73,"2025-08-04T18:15",30914.75
74,"2025-08-04T18:30",30909.50
75,"2025-08-04T18:45",30910.50
76,"2025-08-04T19:00",30921.75
77,"2025-08-04T19:15",30915.50
78,"2025-08-04T19:30",30917.50
79,"2025-08-04T19:45",30945.75
80,"2025-08-04T20:00",30983.00
81,"2025-08-04T20:15",7729.50
82,"2025-08-04T20:30",7729.50
83,"2025-08-04T20:45",7729.50
84,"2025-08-04T22:00",7729.50
85,"2025-08-04T22:15",7729.50
86,"2025-08-04T22:30",7729.50
87,"2025-08-04T22:45",7729.50
88,"2025-08-04T23:00",7729.50
89,"2025-08-04T23:15",7717.50
90,"2025-08-04T23:30",-15622.00
